sku_id,product_name,category,unit_cost,selling_price,weight_kg,holding_cost_per_unit_per_week,stockout_penalty_per_unit
SKU_001,Chips Tortilla,Grocery,27.98,38.9,2.93,0.19,5.97
SKU_002,Fanny Pack,Apparel,23.99,62.54,0.42,0.2,18.57
SKU_003,Jade Roller,Beauty,5.49,12.79,0.24,0.12,2.62
SKU_004,Wireless Mouse,Electronics,82.2,135.58,1.87,0.32,30.88
SKU_005,Baking Soda 2lb,Grocery,25.09,43.06,2.64,0.08,7.69
SKU_006,Cold Brew Concentrate,Grocery,22.53,34.88,0.59,0.11,7.62
SKU_007,Chicken Broth 32oz,Grocery,12.02,20.26,0.71,0.09,4.51
SKU_008,Curtains Blackout,Home & Kitchen,18.04,29.11,2.75,0.15,7.74
SKU_009,Gaming Mouse,Electronics,95.94,149.64,1.85,0.34,30.97
SKU_010,Scalp Scrub,Beauty,5.59,16.87,0.54,0.03,3.94
SKU_011,Pancake Mix Organic,Grocery,28.31,46.54,0.53,0.12,10.28
SKU_012,Smart Lock,Electronics,12.03,21.32,1.94,0.21,6.15
SKU_013,Vitamin D3 Drops,Grocery,28.45,46.23,3.12,0.14,8.0
SKU_014,E-Reader Case,Electronics,35.33,76.96,1.44,0.46,22.68
SKU_015,Trail Mix Variety,Grocery,18.94,27.16,3.2,0.13,5.57
SKU_016,Coconut Water 6-Pack,Grocery,7.7,11.54,3.84,0.16,1.91
SKU_017,Tie Silk,Apparel,10.38,26.67,1.27,0.19,6.99
SKU_018,Collagen Peptides,Grocery,12.47,20.99,2.13,0.14,4.47
SKU_019,Deodorant Natural,Beauty,12.64,29.23,0.61,0.09,6.86
SKU_020,Makeup Bag Travel,Beauty,23.16,55.32,0.31,0.12,14.82
SKU_021,Measuring Cup Set,Home & Kitchen,44.6,85.3,1.61,0.21,17.16
SKU_022,Toilet Brush Set,Home & Kitchen,27.78,52.57,1.86,0.23,10.63
SKU_023,Athletic Socks 6-Pack,Apparel,26.54,47.34,0.15,0.19,12.02
SKU_024,Boxer Briefs 4-Pack,Apparel,32.68,74.32,0.26,0.07,19.49
SKU_025,Broom and Dustpan Set,Home & Kitchen,27.95,52.57,3.89,0.22,14.5
SKU_026,Smart Thermostat,Electronics,69.46,135.69,2.32,0.19,41.63
SKU_027,Sandals Sport,Apparel,21.09,58.67,1.23,0.14,16.67
SKU_028,Ankle Brace,Apparel,28.03,76.55,1.17,0.17,17.78
SKU_029,Teeth Whitening Strips,Beauty,22.89,63.9,0.35,0.09,21.86
SKU_030,Instant Ramen 12-Pack,Grocery,4.82,7.67,1.86,0.15,1.19
SKU_031,Surge Protector,Electronics,44.42,88.12,2.27,0.45,23.87
SKU_032,Bobby Pins Pack,Beauty,20.47,37.01,0.3,0.08,10.39
SKU_033,Smart Doorbell,Electronics,101.55,168.23,0.73,0.12,48.56
SKU_034,Portable SSD 500GB,Electronics,98.43,208.36,1.18,0.14,48.8
SKU_035,Fish Oil Capsules,Grocery,14.55,21.71,3.46,0.11,5.32
SKU_036,Extension Cord 10ft,Home & Kitchen,22.91,49.66,0.85,0.09,7.75
SKU_037,Smart Plug,Electronics,98.54,161.97,0.43,0.37,43.09
SKU_038,Drawer Organizer,Home & Kitchen,35.64,73.36,1.81,0.23,12.23
SKU_039,Power Strip Tower,Electronics,97.02,174.84,2.06,0.3,40.09
SKU_040,Air Fryer Compact,Home & Kitchen,19.22,47.3,3.64,0.09,7.59
SKU_041,Closet Organizer Shelf,Home & Kitchen,18.74,33.46,3.5,0.09,9.85
SKU_042,Ice Cube Tray Silicone,Home & Kitchen,7.96,17.49,2.59,0.23,4.55
SKU_043,Wristband Sweat,Apparel,20.37,47.3,0.78,0.15,9.31
